127.0.0.1 - - [18/Mar/2017:01:26:47 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [18/Mar/2017:01:26:53 +0530] "GET /DocumentManagementApp/index.jsp HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [18/Mar/2017:01:26:54 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [18/Mar/2017:01:28:10 +0530] "GET /DocumentManagementApp/index.jsp HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [18/Mar/2017:01:28:10 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [18/Mar/2017:01:28:30 +0530] "GET /DocumentManagementApp/index.jsp HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [18/Mar/2017:01:28:42 +0530] "GET /DocumentManagementApp/index.jsp HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [18/Mar/2017:01:29:37 +0530] "GET /DocumentManagementApp/index.jsp HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [18/Mar/2017:01:29:43 +0530] "GET /DocumentManagementApp/index.jsp HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [18/Mar/2017:01:29:53 +0530] "GET /DocumentManagementApp/index.jsp HTTP/1.1" 200 485
0:0:0:0:0:0:0:1 - - [18/Mar/2017:01:29:53 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [18/Mar/2017:01:33:09 +0530] "GET /DocumentManagementApp/index.jsp HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [18/Mar/2017:01:33:09 +0530] "GET /DocumentManagementApp/css/site.css HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [18/Mar/2017:01:33:09 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [18/Mar/2017:01:35:14 +0530] "GET /DocumentManagementApp/index.jsp HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [18/Mar/2017:01:35:14 +0530] "GET /DocumentManagementApp/css/site.css HTTP/1.1" 200 54
